CAZy_Family	Class	Substrate_Class	Substrate
CE1	CE		
CE10	CE		
CE11	CE		
CE12	CE		
CE13	CE		
CE14	CE		
CE15	CE		
CE16	CE		
CE2	CE		
CE3	CE		
CE4	CE		
CE5	CE		
CE6	CE		
CE7	CE		
CE8	CE		
CE9	CE		
GH1	GH	"Cellulose, Hemicellulose"	Oligosaccharide-Chains
GH10	GH	Hemicellulose	Xylan
GH100	GH	Other Polysaccharides	Fructan
GH101	GH		
GH102	GH	Amino sugar	Peptidoglycan
GH103	GH	Amino sugar	Peptidoglycan
GH104	GH	Amino sugar	Peptidoglycan
GH105	GH	Pectin	Rhamnogalacturan
GH106	GH	Pectin	Rhamnosides
GH107	GH	Other Polysaccharides	Sulfated Fucans
GH108	GH	Amino sugar	Peptidoglycan
GH109	GH	Amino sugar	Galactosaminide
GH11	GH		
GH110	GH	Hemicellulose	Xylan
GH111	GH	Amino sugar	Keratan sulfate
GH112	GH	Pectin	Galactosyl-L-rhamnose
GH113	GH	Hemicellulose	Mannan
GH114	GH	Amino sugar	Galactosaminide
GH115	GH	Hemicellulose	Xylan
GH116	GH	"Cellulose, Hemicellulose"	Xylo-oligosaccharides
GH117	GH	Other Polysaccharides	Neoagarobiose
GH118	GH		
GH119	GH	Starch	Starch
GH12	GH	Hemicellulose	Xyloglucan
GH120	GH	Pectin	Pectin
GH121	GH	Hemicellulose	Arabinoside
GH122	GH		
GH123	GH	Amino sugar	Amino sugar
GH124	GH		
GH125	GH	Hemicellulose	Mannooligosaccharides
GH13	GH	"Starch, Pullulan"	"Starch, Pullulan"
GH14	GH		
GH15	GH	Starch	Starch
GH16	GH	Other Polysaccharides	"laminarin, paramylon, pachyman, D-Glucans"
GH17	GH	Other Polysaccharides	"laminarin, paramylon, pachyman, D-Glucans"
GH18	GH	Chitin	Chitin
GH19	GH	Chitin	Chitin
GH2	GH	"Hemicellulose, Chitin"	Oligosaccharide-Chains
GH20	GH	Amino sugar	Hexosaminide
GH22	GH	Amino sugar	Peptidoglycan
GH23	GH	Amino sugar	Peptidoglycan
GH24	GH	Amino sugar	Peptidoglycan
GH25	GH	Amino sugar	Peptidoglycan
GH26	GH	Hemicellulose	"Xylan, Mannan"
GH27	GH	Hemicellulose	"Melibiose, AG-oligosaccharides"
GH28	GH	Pectin	Pectin
GH29	GH	Hemicellulose	L-Fucoside
GH3	GH	"Cellulose, Hemicellulose"	"Cellobiose, Xylo-oligosaccharides, L-arabinofuranoside, D-Glucans"
GH30	GH	"Cellulose, Hemicellulose"	"Cellobiose, Xylo-oligosaccharides, AG-oligosaccharides, D-Fucoside"
GH31	GH	Starch	"Starch, Xyloglucan"
GH32	GH	Other Polysaccharides	Fructan
GH33	GH	Monosaccharides	Sialic acid
GH34	GH		
GH35	GH	Hemicellulose	AG-oligosaccharides
GH36	GH	Hemicellulose	Melibiose
GH37	GH	Starch	_-trehalose
GH38	GH	Hemicellulose	Mannooligosaccharides
GH39	GH	Hemicellulose	Xylo-oligosaccharides
GH4	GH	"Starch, Hemicellulose"	"Starch, AG-oligosaccharides, Glucuronosides"
GH42	GH	Hemicellulose	AG-oligosaccharides
GH43	GH	Hemicellulose	"Xylan, Arabinan, Xylo-oligosaccharides, AG-oligosaccharides, L-arabinofuranoside"
GH44	GH	"Cellulose, Hemicellulose"	"Cellulose, Xyloglucan"
GH45	GH		
GH46	GH	Chitin	Chitosan
GH47	GH	Hemicellulose	Mannooligosaccharides
GH48	GH		
GH49	GH		
GH5	GH	"Cellulose, Hemicellulose, Chitin"	"Cellulose, Xylan, Mannan"
GH50	GH	Other Polysaccharides	Agarose
GH51	GH	"Cellulose, Hemicellulose"	"Cellulose, L-arabinofuranoside"
GH52	GH	Hemicellulose	Xylo-oligosaccharides
GH53	GH	Hemicellulose	Arabinogalactan
GH54	GH	Hemicellulose	"Xylo-oligosaccharides, L-arabinofuranoside"
GH55	GH	Other Polysaccharides	"laminarin, paramylon, pachyman, D-Glucans"
GH56	GH		
GH57	GH	"Starch, Hemicellulose"	"Starch, Melibiose"
GH58	GH		
GH59	GH	Amino sugar	D-galactosyl-N-acylsphingosine
GH6	GH	Cellulose	Cellulose
GH61	GH		
GH62	GH	Hemicellulose	L-arabinofuranoside
GH63	GH	Starch	Starch
GH64	GH	Other Polysaccharides	"laminarin, paramylon, pachyman, D-Glucans"
GH65	GH	Starch	"_-trehalose, maltose, trehalose, kojibiose"
GH66	GH	Other Polysaccharides	dextran
GH67	GH	Hemicellulose	"Glucuronosides, Glucuroxylan"
GH68	GH	Starch	"Sucrose, Fructan"
GH7	GH		
GH70	GH	Starch	Sucrose
GH71	GH	Other Polysaccharides	"alpha-1,3-glucan"
GH72	GH	Other Polysaccharides	"Glycogen, Sucrose, dextran, _-trehalose, Cellobiose"
GH73	GH	Amino sugar	Peptidoglycan
GH74	GH	"Cellulose, Hemicellulose"	"Cellulose, Hyloglucan"
GH75	GH	Chitin	Chitosan
GH76	GH	Hemicellulose	Mannooligosaccharides
GH77	GH	Starch	maltose
GH78	GH	Pectin	Rhamnosides
GH79	GH	Amino sugar	Glucuronosides
GH8	GH	"Cellulose, Hemicellulose, Chitin"	"Cellulose, Xylan, Chitosan"
GH80	GH	Chitin	Chitosan
GH81	GH	Other Polysaccharides	"laminarin, paramylon, pachyman, D-Glucans"
GH82	GH	Other Polysaccharides	_-carrageenan
GH83	GH		
GH84	GH	Monosaccharides	Sialic acid
GH85	GH		
GH86	GH	Other Polysaccharides	Agarose
GH87	GH	Other Polysaccharides	"alpha-1,3-glucan"
GH88	GH	Other Polysaccharides	Oligosaccharides
GH89	GH	Amino sugar	N-acetyl-alpha-D-glucosaminide
GH9	GH	Cellulose	"Cellulose, Cellobiose"
GH90	GH		
GH91	GH	Other Polysaccharides	Inulin
GH92	GH	Hemicellulose	Mannooligosaccharides
GH93	GH	Hemicellulose	Arabinanan
GH94	GH	Cellulose	Cellobiose
GH95	GH	Hemicellulose	L-Fucoside
GH96	GH	Other Polysaccharides	Agarose
GH97	GH	"Starch, Hemicellulose"	"Starch, Melibiose"
GH98	GH		
GH99	GH	Amino sugar	Manno-glycoprotein
GT1	GT		
GT10	GT		
GT11	GT		
GT12	GT		
GT13	GT		
GT14	GT		
GT15	GT		
GT16	GT		
GT17	GT		
GT18	GT		
GT19	GT		
GT2	GT		
GT20	GT		
GT21	GT		
GT22	GT		
GT23	GT		
GT24	GT		
GT25	GT		
GT26	GT		
GT27	GT		
GT28	GT		
GT29	GT		
GT3	GT		
GT30	GT		
GT31	GT		
GT32	GT		
GT33	GT		
GT34	GT		
GT35	GT		
GT37	GT		
GT38	GT		
GT39	GT		
GT4	GT		
GT40	GT		
GT41	GT		
GT42	GT		
GT43	GT		
GT44	GT		
GT45	GT		
GT46	GT		
GT47	GT		
GT48	GT		
GT49	GT		
GT5	GT		
GT50	GT		
GT51	GT		
GT52	GT		
GT53	GT		
GT54	GT		
GT55	GT		
GT56	GT		
GT57	GT		
GT58	GT		
GT59	GT		
GT6	GT		
GT60	GT		
GT61	GT		
GT62	GT		
GT63	GT		
GT64	GT		
GT65	GT		
GT66	GT		
GT67	GT		
GT68	GT		
GT69	GT		
GT7	GT		
GT70	GT		
GT71	GT		
GT72	GT		
GT73	GT		
GT74	GT		
GT75	GT		
GT76	GT		
GT77	GT		
GT78	GT		
GT79	GT		
GT8	GT		
GT80	GT		
GT81	GT		
GT82	GT		
GT83	GT		
GT84	GT		
GT85	GT		
GT87	GT		
GT88	GT		
GT89	GT		
GT9	GT		
GT90	GT		
GT91	GT		
GT92	GT		
PL1	PL	Pectin	Pectin
PL10	PL	Pectin	Pectin
PL11	PL	Pectin	Pectin
PL12	PL	Amino sugar	Heparin
PL13	PL		
PL14	PL	Other Polysaccharides	Alginate
PL15	PL	Other Polysaccharides	Alginate oligosaccharides
PL16	PL	Amino sugar	hyaluronan
PL17	PL	Other Polysaccharides	Alginate
