Codes	Gene	Main_Category	Sub_Category
TIGR02061	aprA	Sulfur Metabolism	Sulfate Reduction
coxS_alignment	coxS	Carbon Monoxide Metabolism	CO Oxidation
TIGR02891	coxA	Oxygen Metabolism	Cyt-caa3-type
TIGR02866	coxB	Oxygen Metabolism	Cyt-caa3-type
TIGR02416	coxL	Carbon Monoxide Metabolism	CO Oxidation
PF01654_seed	cydA	Oxygen Metabolism	Cyt-bd-type
TIGR00203	cydB	Oxygen Metabolism	Cyt-bd-type
TIGR01473	cyoE	Oxygen Metabolism	Cyt-bo-type
fcc_interpro	fcc	Sulfur Metabolism	Sulfide Oxidation
TIGR01591	fdxA	C1 Metabolism	Formate Oxidation
TIGR01583	fdxG	C1 Metabolism	Formate Oxidation
TIGR01428	dehII	Halogenated Compound Metabolism	Halogenated Compound Degradation
pqq_xoxF_mxaF_alignment	pqq	C1 Metabolism	Methanol Oxidation
TIGR03509	mtrC	Metal Metabolism	Fe-Mn Redox
TIGR01323	nthA	Nitrile Metabolism	Nitrile Hydratase
TIGR00339	sat	Sulfur Metabolism	Sulfate Reduction
TIGR02821	fghA	C1 Metabolism	Formaldehyde Oxidation
TIGR02818	adhIII	C1 Metabolism	Formaldehyde Oxidation
TIGR04486	soxB	Sulfur Metabolism	Thiosulfate Oxidation
TIGR04555	soxC	Sulfur Metabolism	Thiosulfate Oxidation
TIGR04488	soxY	Sulfur Metabolism	Thiosulfate Oxidation
sulfur_dioxygenase_sdo_alignment	sdo	Sulfur Metabolism	Sulfur Oxidation
coxM_alignment	coxM	Carbon Monoxide Metabolism	CO Oxidation
PF06778_seed	cld	Halogenated Compound Metabolism	Chlorite Reduction
TIGR01582	fdxH	C1 Metabolism	Formate Oxidation
TIGR03888	nthB	Nitrile Metabolism	Nitrile Hydratase
TIGR01433	cyoA	Oxygen Metabolism	Cyt-bo-type
TIGR02847	cyoD	Oxygen Metabolism	Cyt-bo-type
TIGR00193	ureA	Urea Metabolism	Urea Hydrolysis
TIGR00192	ureB	Urea Metabolism	Urea Hydrolysis
TIGR01792	ureC	Urea Metabolism	Urea Hydrolysis
TIGR00780	ccoN	Oxygen Metabolism	Cyt-cbb3-type
TIGR00781	ccoO	Oxygen Metabolism	Cyt-cbb3-type
TIGR00782	ccoP	Oxygen Metabolism	Cyt-cbb3-type
TIGR00455	cysC	Sulfur Metabolism	Sulfate Reduction
TIGR02376	nirK	Nitrogen Metabolism	Nitrite Reduction
TIGR02691	arsCII	Arsenic Metabolism	Arsenate Reduction
Hydrogenase_Vignais_Group_1_alignment	Group_1	Hydrogen Metabolism	Ni-Fe Hydrogenase
TIGR03313	selM	Selenium Metabolism	Selenate Reduction
TIGR03126	fae	C1 Metabolism	Formaldehyde Oxidation
TIGR03119	fhcD	C1 Metabolism	Formaldehyde Oxidation
TIGR03120	mch	C1 Metabolism	Formaldehyde Oxidation
TIGR04266	mdo	C1 Metabolism	Methanol Oxidation
norC_alignment	norC	Nitrogen Metabolism	Nitric Oxide Reduction
TIGR03451	mycoS	C1 Metabolism	Formaldehyde Oxidation
TIGR02034	cysN	Sulfur Metabolism	Sulfate Reduction
MmoB_PF02406_full.stockholm	mmoB	Methane Metabolism	Methane Oxidation
TIGR02378	nirD	Nitrogen Metabolism	Nitrite Reduction
TIGR02486	rdh	Halogenated Compound Metabolism	Halogenated Compound Degradation
TIGR02374	nirB	Nitrogen Metabolism	Nitrite Reduction
TIGR03507	mtrA	Metal Metabolism	Fe-Mn Redox
TIGR02819	fdhA	C1 Metabolism	Formaldehyde Oxidation
norB_alignment	norB	Nitrogen Metabolism	Nitric Oxide Reduction
TIGR00014	arsC	Arsenic Metabolism	Arsenate Reduction
aclA_alignment	aclA	Carbon Fixation	Reverse TCA Cycle
aclB_alignment	aclB	Carbon Fixation	Reverse TCA Cycle
TIGR03153	nrfH	Nitrogen Metabolism	Nitrite Reduction
TIGR02658	madB	C1 Metabolism	Methylamine Oxidation
rubisco_form_I_alignment	ruBpI	Carbon Fixation	CCB Cycle Rubisco
TIGR02659	madA	C1 Metabolism	Methylamine Oxidation
thiosulfate_reductase_phsA_alignment	phsA	Sulfur Metabolism	Thiosulfate Reduction
Hydrogenase_Vignais_Group_3b_alignment	Group_3b	Hydrogen Metabolism	Ni-Fe Hydrogenase
TIGR02694	arsL	Arsenic Metabolism	Arsenite Oxidation
TIGR03315	ygfK	Selenium Metabolism	Selenate Reduction
